id,article_id,article_name,number_requested,created_at,article_type,language,original_article_id,news_blob_uri
464,39eaf42a-9c11-463d-8890-4f0ba71602c8,WeWow Creepy Crawly Week - Day 5: Roach Revue (10/31/25),1,2025-10-31 18:28:06.298305,News and Politics,en,,news/39eaf42a-9c11-463d-8890-4f0ba71602c8.zip
2,81835fab-0f26-47a4-bbb8-e98952a2b36f,News Article,1,2025-08-12 03:31:13.20683,Others,en,,news/81835fab-0f26-47a4-bbb8-e98952a2b36f.zip
3,3d32c81d-2704-4932-ba18-f02154b89152,News Article,1,2025-08-12 13:32:34.811005,Others,en,,news/3d32c81d-2704-4932-ba18-f02154b89152.zip
5,59e9b566-3dcc-495f-9b6c-c9e3cfd8e6a7,News Article,1,2025-08-12 14:25:24.404017,Others,en,,news/59e9b566-3dcc-495f-9b6c-c9e3cfd8e6a7.zip
7,a19bdd9c-e46a-4f35-bf0a-d1182f0faa9a,News Article,1,2025-08-12 19:10:57.726968,Others,en,,news/a19bdd9c-e46a-4f35-bf0a-d1182f0faa9a.zip
8,c8e5ef0d-458d-4593-839b-c2e765859415,News Article,1,2025-08-12 19:40:53.288753,Others,en,,news/c8e5ef0d-458d-4593-839b-c2e765859415.zip
10,9c6dbd9b-b83e-4a94-b73c-783f71f1dbb5,News Article,1,2025-08-12 21:37:19.625795,Others,en,,news/9c6dbd9b-b83e-4a94-b73c-783f71f1dbb5.zip
11,584ffb9c-5173-4ff0-b335-4337dd28480b,News Article,1,2025-08-12 22:11:38.287908,Others,en,,news/584ffb9c-5173-4ff0-b335-4337dd28480b.zip
13,a2a76717-fab2-4d58-abc3-5a27f987e751,SCOTUS explained by Kimberly Atkins Stohr by Kimberly Atkins,1,2025-08-13 03:01:47.724817,Others,en,,news/a2a76717-fab2-4d58-abc3-5a27f987e751.zip
15,d1642006-f4a0-4b04-aa83-1b1492d53d46,SCOTUS explained by Kimberly Atkins Stohr by Kimberly Atkins Stohr,1,2025-08-13 03:43:32.67422,Others,en,,news/d1642006-f4a0-4b04-aa83-1b1492d53d46.zip
17,5873a5c3-8bb9-4ca8-8be7-be97a6c6def9,"The day after his 2017 inauguration, Bowser addressed the Women’s March protest in a pink hat and led the crowd in a chant of “Leave us alone.” When Trump attacked her and Democratic New York Representative Alexandria Ocasio-Cortez, Bowser declared on Twi",1,2025-08-13 15:12:23.790287,Others,en,,news/5873a5c3-8bb9-4ca8-8be7-be97a6c6def9.zip
18,2e8385a8-52a1-4c67-b990-cf1ec8fbb672,D.C. Mayor Muriel Bowser tried two different ways of dealing with Trump. Both had the same result. by Jim Puzzanghera,1,2025-08-13 15:24:01.885191,Others,en,,news/2e8385a8-52a1-4c67-b990-cf1ec8fbb672.zip
19,04038c74-2ca6-4011-91fc-2f101211d370,Immigration roundups! Tariffs! Bombing Iran! Dismantling DEI! Barrage from Trump leaves many tuning everything out. by Danny McDonald,1,2025-08-13 15:28:45.153888,Others,en,,news/04038c74-2ca6-4011-91fc-2f101211d370.zip
20,345b828e-2ce3-40f6-bbab-cf312ac83eac,Pentagon plan would create military ‘reaction force’ for civil unrest by Alex Horton and David Ovalle The Washington,1,2025-08-13 15:32:29.436886,Others,en,,news/345b828e-2ce3-40f6-bbab-cf312ac83eac.zip
22,ff83f8c7-f6a6-4ad4-a575-99018283a9d5,"“Loose covenants help borrowers postpone hard defaults (such as bankruptcies or missed debt payments) but erode a company’s value by the time a bankruptcy is inevitable,” Moody’s pointed out in April. “In some cases, weaker credit protections enable debt ",1,2025-08-13 16:20:40.058429,Others,en,,news/ff83f8c7-f6a6-4ad4-a575-99018283a9d5.zip
